"","income","native_country","hours_per_week","capital_loss","capital_gain","sex","race","relationship","occupation","marital_status","education_num","education","fnlwgt","workclass","age"
"1001",">50K","United-States",65,1902,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",16,"Doctorate",168212,"Private",50
"1002",">50K","United-States",40,0,0,"Female","White","Wife","Prof-specialty","Married-civ-spouse",9,"HS-grad",343642,"State-gov",38
"1003","<=50K","United-States",60,0,0,"Female","White","Own-child","Prof-specialty","Never-married",13,"Bachelors",115244,"Local-gov",23
"1004","<=50K","United-States",16,0,0,"Male","White","Own-child","Other-service","Never-married",9,"HS-grad",162572,"Private",31
"1005","<=50K","United-States",40,0,0,"Male","White","Husband","Adm-clerical","Married-civ-spouse",13,"Bachelors",356067,"Private",58
"1006","<=50K","United-States",40,0,0,"Male","Black","Not-in-family","Machine-op-inspct","Separated",9,"HS-grad",271567,"Private",66
"1007",">50K","United-States",40,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",9,"HS-grad",180804,"Self-emp-inc",39
"1008",">50K","United-States",52,0,15024,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",123011,"Self-emp-not-inc",54
"1009","<=50K","Germany",50,0,0,"Male","White","Husband","Sales","Married-civ-spouse",10,"Some-college",109186,"Private",26
"1010","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Machine-op-inspct","Divorced",9,"HS-grad",220537,"Private",51
"1011","<=50K","United-States",40,0,0,"Male","White","Own-child","Transport-moving","Never-married",11,"Assoc-voc",124827,"Private",34
"1012",">50K","United-States",40,0,3103,"Male","White","Husband","Machine-op-inspct","Married-civ-spouse",9,"HS-grad",767403,"Private",50
"1013",">50K","United-States",44,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",10,"Some-college",118494,"Private",42
"1014","<=50K","United-States",25,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",14,"Masters",173208,"Private",38
"1015","<=50K","United-States",40,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",4,"7th-8th",107373,"Private",48
"1016",">50K","United-States",40,0,0,"Female","White","Wife","Tech-support","Married-civ-spouse",11,"Assoc-voc",26973,"Private",33
"1017","<=50K","United-States",32,0,0,"Female","White","Unmarried","Other-service","Widowed",9,"HS-grad",191965,"Private",51
"1018","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Craft-repair","Divorced",9,"HS-grad",122346,"Private",22
"1019","<=50K","United-States",30,0,0,"Male","White","Own-child","?","Never-married",9,"HS-grad",117201,"?",19
"1020","<=50K","Japan",50,0,0,"Male","White","Not-in-family","Craft-repair","Never-married",10,"Some-college",198316,"Private",41
"1021",">50K","United-States",35,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",14,"Masters",123075,"Local-gov",48
"1022","<=50K","United-States",30,0,0,"Female","White","Not-in-family","Sales","Separated",9,"HS-grad",209370,"Private",42
"1023","<=50K","United-States",40,0,0,"Male","White","Husband","Other-service","Married-civ-spouse",10,"Some-college",33117,"Private",34
"1024","<=50K","United-States",40,0,0,"Female","Black","Unmarried","Machine-op-inspct","Never-married",9,"HS-grad",129042,"Private",23
"1025","<=50K","Yugoslavia",50,0,0,"Male","White","Husband","Other-service","Married-civ-spouse",9,"HS-grad",169133,"Private",56
"1026","<=50K","?",45,0,0,"Male","Black","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",201624,"Private",30
"1027",">50K","United-States",55,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",9,"HS-grad",368561,"Private",45
"1028","<=50K","United-States",40,0,0,"Female","White","Wife","Adm-clerical","Married-civ-spouse",6,"10th",207848,"Private",48
"1029","<=50K","India",50,0,0,"Male","Asian-Pac-Islander","Not-in-family","Sales","Married-spouse-absent",14,"Masters",138370,"Self-emp-inc",48
"1030","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Never-married",11,"Assoc-voc",93106,"Private",31
"1031","<=50K","United-States",20,1719,0,"Male","White","Own-child","Other-service","Never-married",12,"Assoc-acdm",223515,"State-gov",20
"1032","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Sales","Never-married",10,"Some-college",389713,"Private",27
"1033","<=50K","United-States",40,0,0,"Female","Black","Not-in-family","Other-service","Never-married",9,"HS-grad",206365,"Private",32
"1034","<=50K","United-States",2,0,0,"Male","White","Not-in-family","?","Widowed",4,"7th-8th",431192,"?",76
"1035","<=50K","United-States",40,2001,0,"Male","White","Unmarried","?","Never-married",9,"HS-grad",241616,"?",19
"1036","<=50K","?",1,0,1409,"Male","White","Husband","Exec-managerial","Married-civ-spouse",5,"9th",150726,"Self-emp-inc",66
"1037","<=50K","United-States",75,0,0,"Male","White","Not-in-family","Other-service","Never-married",9,"HS-grad",123785,"Private",37
"1038","<=50K","United-States",30,0,0,"Female","Black","Unmarried","Priv-house-serv","Divorced",9,"HS-grad",289984,"Private",34
"1039","<=50K","United-States",8,0,0,"Female","White","Wife","?","Married-civ-spouse",7,"11th",164309,"?",34
"1040","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Other-service","Never-married",9,"HS-grad",137018,"Private",90
"1041","<=50K","United-States",40,0,0,"Female","Black","Own-child","Machine-op-inspct","Never-married",10,"Some-college",137994,"Private",23
"1042","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Divorced",10,"Some-college",341204,"Private",43
