"","income","native_country","hours_per_week","capital_loss","capital_gain","sex","race","relationship","occupation","marital_status","education_num","education","fnlwgt","workclass","age"
"4001","<=50K","United-States",42,0,0,"Male","White","Own-child","Machine-op-inspct","Never-married",9,"HS-grad",376240,"Private",19
"4002","<=50K","United-States",40,0,0,"Female","White","Own-child","Sales","Never-married",13,"Bachelors",157391,"Private",28
"4003","<=50K","United-States",40,0,0,"Male","White","Not-in-family","?","Never-married",10,"Some-college",114357,"?",23
"4004",">50K","United-States",40,0,0,"Female","White","Not-in-family","Prof-specialty","Never-married",15,"Prof-school",178134,"Private",44
"4005",">50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",10,"Some-college",207201,"Private",31
"4006",">50K","?",50,0,0,"Male","Asian-Pac-Islander","Not-in-family","Sales","Never-married",13,"Bachelors",124483,"Private",35
"4007","<=50K","United-States",50,0,0,"Female","White","Not-in-family","Priv-house-serv","Divorced",9,"HS-grad",102103,"Private",64
"4008",">50K","United-States",40,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",9,"HS-grad",92036,"Private",40
"4009","<=50K","United-States",50,0,0,"Female","White","Not-in-family","Prof-specialty","Divorced",12,"Assoc-acdm",236426,"Local-gov",59
"4010","<=50K","United-States",40,0,0,"Female","White","Own-child","Adm-clerical","Never-married",10,"Some-college",400966,"Private",22
"4011","<=50K","United-States",44,0,0,"Female","White","Not-in-family","Sales","Never-married",10,"Some-college",404573,"Private",40
"4012","<=50K","Mexico",40,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",4,"7th-8th",227571,"Private",35
"4013","<=50K","United-States",15,0,0,"Female","White","Own-child","Adm-clerical","Never-married",10,"Some-college",145917,"Private",20
"4014","<=50K","United-States",40,0,0,"Male","White","Own-child","Protective-serv","Never-married",9,"HS-grad",190226,"Local-gov",35
"4015","<=50K","United-States",48,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",10,"Some-college",356555,"Private",28
"4016","<=50K","United-States",40,0,0,"Male","White","Own-child","Machine-op-inspct","Divorced",9,"HS-grad",66473,"Private",28
"4017","<=50K","United-States",20,0,0,"Male","White","Husband","?","Married-civ-spouse",10,"Some-college",172256,"?",37
"4018",">50K","United-States",6,2392,0,"Male","White","Husband","?","Married-civ-spouse",16,"Doctorate",118902,"?",72
"4019","<=50K","United-States",60,0,0,"Male","White","Not-in-family","Sales","Never-married",12,"Assoc-acdm",163039,"Self-emp-inc",25
"4020","<=50K","United-States",40,0,0,"Female","White","Unmarried","Adm-clerical","Divorced",9,"HS-grad",89559,"Private",37
"4021","<=50K","United-States",45,0,0,"Female","White","Own-child","?","Never-married",10,"Some-college",35507,"?",19
"4022","<=50K","United-States",38,0,0,"Female","White","Own-child","Sales","Divorced",11,"Assoc-voc",163303,"Private",31
"4023","<=50K","United-States",40,0,0,"Female","White","Other-relative","Adm-clerical","Never-married",9,"HS-grad",192712,"Private",41
"4024",">50K","United-States",40,0,0,"Male","White","Husband","Tech-support","Married-civ-spouse",6,"10th",381153,"Private",31
"4025","<=50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",222434,"Private",44
"4026","<=50K","United-States",47,0,0,"Male","Black","Not-in-family","Exec-managerial","Never-married",10,"Some-college",34706,"Private",20
"4027","<=50K","United-States",50,0,0,"Male","White","Husband","Farming-fishing","Married-civ-spouse",10,"Some-college",47857,"Self-emp-not-inc",57
"4028","<=50K","United-States",12,0,0,"Female","White","Not-in-family","Other-service","Divorced",9,"HS-grad",195216,"Private",26
"4029","<=50K","Greece",60,0,5013,"Male","White","Husband","Exec-managerial","Married-civ-spouse",9,"HS-grad",103643,"Self-emp-inc",44
"4030","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Protective-serv","Never-married",9,"HS-grad",329426,"Local-gov",29
"4031",">50K","United-States",40,1977,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",9,"HS-grad",183612,"Private",36
"4032",">50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",11,"Assoc-voc",184105,"Private",40
"4033","<=50K","Jamaica",35,0,0,"Male","Black","Not-in-family","Other-service","Never-married",12,"Assoc-acdm",211385,"Private",21
"4034","<=50K","United-States",70,0,0,"Male","White","Not-in-family","Craft-repair","Never-married",10,"Some-college",61777,"Private",21
"4035",">50K","United-States",48,0,0,"Male","White","Unmarried","Prof-specialty","Separated",15,"Prof-school",320194,"Self-emp-not-inc",34
"4036","<=50K","United-States",15,0,0,"Female","White","Own-child","Exec-managerial","Never-married",13,"Bachelors",199444,"Private",24
"4037","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Other-service","Divorced",6,"10th",312588,"Private",28
"4038","<=50K","United-States",50,0,0,"Male","White","Own-child","Transport-moving","Separated",9,"HS-grad",168675,"Private",35
"4039","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Craft-repair","Divorced",9,"HS-grad",87556,"Private",35
"4040","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Exec-managerial","Never-married",13,"Bachelors",220421,"State-gov",38
"4041","<=50K","United-States",40,0,0,"Female","Black","Unmarried","Adm-clerical","Divorced",9,"HS-grad",404599,"Federal-gov",44
"4042",">50K","Poland",40,0,0,"Female","White","Wife","Handlers-cleaners","Married-civ-spouse",13,"Bachelors",99065,"Private",39
"4043","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Other-service","Divorced",9,"HS-grad",109973,"Local-gov",57
"4044","<=50K","United-States",40,0,0,"Female","White","Own-child","Sales","Never-married",10,"Some-college",246652,"Private",19
"4045","<=50K","United-States",48,0,0,"Male","White","Husband","Machine-op-inspct","Married-civ-spouse",11,"Assoc-voc",57423,"Private",29
"4046","<=50K","United-States",40,0,0,"Male","Black","Other-relative","Machine-op-inspct","Never-married",9,"HS-grad",291248,"Private",23
"4047","<=50K","United-States",40,0,0,"Female","White","Unmarried","Other-service","Widowed",9,"HS-grad",163708,"Private",50
"4048","<=50K","United-States",20,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",10,"Some-college",240358,"Self-emp-not-inc",51
"4049","<=50K","United-States",40,0,0,"Male","Amer-Indian-Eskimo","Not-in-family","Craft-repair","Divorced",11,"Assoc-voc",25955,"Private",28
"4050","<=50K","United-States",60,0,0,"Male","White","Husband","Sales","Married-civ-spouse",13,"Bachelors",101593,"Private",44
"4051","<=50K","United-States",40,0,0,"Male","Black","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",227890,"Self-emp-not-inc",29
"4052","<=50K","United-States",45,0,0,"Male","White","Not-in-family","Transport-moving","Divorced",9,"HS-grad",225053,"Private",31
"4053",">50K","United-States",45,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",13,"Bachelors",228472,"Private",27
"4054","<=50K","United-States",45,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",245378,"Private",34
"4055",">50K","Philippines",50,0,7688,"Male","Asian-Pac-Islander","Husband","Prof-specialty","Married-civ-spouse",15,"Prof-school",156623,"Self-emp-inc",50
"4056",">50K","United-States",40,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",10,"Some-college",35032,"Private",27
"4057","<=50K","United-States",40,0,0,"Female","Black","Unmarried","Adm-clerical","Never-married",11,"Assoc-voc",258849,"Private",31
"4058",">50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",12,"Assoc-acdm",190115,"Private",46
"4059","<=50K","United-States",40,0,0,"Female","Asian-Pac-Islander","Own-child","Adm-clerical","Never-married",10,"Some-college",63910,"Private",39
"4060",">50K","United-States",55,0,0,"Male","White","Husband","Sales","Married-civ-spouse",13,"Bachelors",510072,"Private",40
"4061","<=50K","United-States",40,0,0,"Male","White","Own-child","Sales","Divorced",7,"11th",210867,"Private",28
"4062","<=50K","United-States",40,0,0,"Female","White","Own-child","Sales","Never-married",9,"HS-grad",263024,"Private",18
"4063","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Divorced",9,"HS-grad",306785,"Private",51
"4064","<=50K","United-States",50,0,0,"Male","White","Not-in-family","Sales","Divorced",9,"HS-grad",104333,"Self-emp-inc",58
"4065","<=50K","United-States",40,0,0,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",340734,"Private",66
"4066","<=50K","South",20,0,0,"Female","Asian-Pac-Islander","Wife","Other-service","Married-civ-spouse",9,"HS-grad",288585,"Self-emp-not-inc",36
"4067","<=50K","United-States",60,0,0,"Female","White","Not-in-family","Handlers-cleaners","Divorced",7,"11th",241765,"Private",38
"4068","<=50K","United-States",40,0,0,"Male","White","Own-child","Exec-managerial","Never-married",12,"Assoc-acdm",111058,"Private",25
"4069","<=50K","United-States",22,0,0,"Female","White","Unmarried","Other-service","Never-married",9,"HS-grad",104662,"Private",25
"4070","<=50K","United-States",40,0,0,"Male","White","Own-child","Handlers-cleaners","Never-married",7,"11th",313986,"Private",90
"4071","<=50K","United-States",40,0,0,"Female","White","Unmarried","Adm-clerical","Divorced",10,"Some-college",52037,"Local-gov",41
"4072","<=50K","United-States",40,0,0,"Female","Black","Unmarried","?","Never-married",9,"HS-grad",146589,"?",34
"4073","<=50K","Germany",40,0,914,"Female","White","Unmarried","Prof-specialty","Divorced",13,"Bachelors",131776,"Private",33
"4074","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Never-married",9,"HS-grad",254221,"Private",33
"4075",">50K","United-States",45,1887,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",152909,"Private",35
"4076","<=50K","United-States",20,0,0,"Female","Black","Own-child","Craft-repair","Never-married",9,"HS-grad",211785,"Self-emp-not-inc",39
"4077","<=50K","United-States",60,0,0,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",160362,"Private",59
"4078","<=50K","United-States",16,1719,0,"Male","White","Own-child","Tech-support","Never-married",10,"Some-college",387215,"Private",19
"4079","<=50K","United-States",38,0,4064,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",187046,"Private",39
"4080","<=50K","United-States",40,0,0,"Male","White","Own-child","?","Never-married",10,"Some-college",208874,"?",19
"4081","<=50K","United-States",40,0,0,"Female","White","Own-child","Handlers-cleaners","Never-married",9,"HS-grad",169631,"Private",27
"4082","<=50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",4,"7th-8th",202956,"Private",52
"4083","<=50K","United-States",24,0,0,"Female","White","Own-child","Other-service","Divorced",9,"HS-grad",80467,"Self-emp-not-inc",59
"4084","<=50K","United-States",40,0,0,"Female","White","Unmarried","Craft-repair","Divorced",10,"Some-college",407672,"Private",28
"4085","<=50K","Peru",50,0,0,"Female","White","Other-relative","Other-service","Divorced",9,"HS-grad",243425,"Private",37
"4086","<=50K","United-States",99,0,0,"Male","White","Husband","?","Married-civ-spouse",6,"10th",174964,"?",50
"4087",">50K","United-States",50,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",347491,"Private",36
"4088",">50K","United-States",60,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",146161,"Private",34
"4089","<=50K","United-States",40,0,0,"Male","White","Own-child","Adm-clerical","Never-married",10,"Some-college",449432,"Private",23
"4090","<=50K","United-States",30,0,0,"Female","White","Own-child","?","Never-married",7,"11th",175499,"?",19
"4091","<=50K","United-States",84,2258,0,"Male","White","Not-in-family","Craft-repair","Divorced",9,"HS-grad",288825,"Private",33
