"","income","native_country","hours_per_week","capital_loss","capital_gain","sex","race","relationship","occupation","marital_status","education_num","education","fnlwgt","workclass","age"
"2001","<=50K","United-States",40,0,0,"Female","White","Other-relative","Sales","Never-married",10,"Some-college",104024,"Private",28
"2002","<=50K","United-States",40,0,1409,"Male","White","Husband","Farming-fishing","Married-civ-spouse",9,"HS-grad",293114,"Self-emp-not-inc",66
"2003",">50K","United-States",48,0,0,"Female","Asian-Pac-Islander","Wife","Exec-managerial","Married-civ-spouse",5,"9th",74141,"Private",72
"2004","<=50K","United-States",50,0,0,"Male","White","Not-in-family","Sales","Separated",13,"Bachelors",192337,"Private",39
"2005","<=50K","United-States",30,0,0,"Male","Black","Own-child","Farming-fishing","Never-married",9,"HS-grad",262478,"Private",27
"2006","<=50K","Jamaica",40,0,0,"Female","Black","Other-relative","Adm-clerical","Never-married",10,"Some-college",185072,"Private",57
"2007","<=50K","United-States",38,0,2635,"Male","White","Husband","Craft-repair","Married-civ-spouse",4,"7th-8th",296045,"Private",24
"2008","<=50K","United-States",70,0,0,"Male","White","Own-child","Craft-repair","Never-married",9,"HS-grad",246595,"Private",28
"2009","<=50K","United-States",50,0,0,"Female","White","Not-in-family","Other-service","Married-spouse-absent",10,"Some-college",54472,"Private",23
"2010","<=50K","United-States",40,1408,0,"Female","White","Not-in-family","Exec-managerial","Never-married",13,"Bachelors",331065,"Private",31
"2011","<=50K","United-States",20,0,0,"Female","White","Own-child","Other-service","Never-married",10,"Some-college",161708,"Private",23
"2012","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Other-service","Never-married",10,"Some-college",264936,"Private",31
"2013","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",113545,"Local-gov",27
"2014","<=50K","United-States",45,1740,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",212237,"Private",30
"2015","<=50K","?",80,0,0,"Female","White","Not-in-family","Prof-specialty","Never-married",15,"Prof-school",170430,"Private",31
"2016","<=50K","United-States",60,0,4865,"Male","White","Not-in-family","Prof-specialty","Never-married",14,"Masters",173806,"Private",34
"2017","<=50K","United-States",40,2258,0,"Male","White","Not-in-family","Adm-clerical","Never-married",9,"HS-grad",370890,"Federal-gov",57
"2018",">50K","Cuba",40,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",14,"Masters",505119,"Private",39
"2019","<=50K","United-States",40,0,0,"Male","White","Own-child","Craft-repair","Never-married",7,"11th",193089,"Private",23
"2020","<=50K","United-States",40,0,0,"Female","White","Wife","Other-service","Married-civ-spouse",12,"Assoc-acdm",33432,"Local-gov",24
