"","income","native_country","hours_per_week","capital_loss","capital_gain","sex","race","relationship","occupation","marital_status","education_num","education","fnlwgt","workclass","age"
"3001","<=50K","United-States",60,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",4,"7th-8th",189528,"Private",55
"3002","<=50K","United-States",40,0,0,"Female","White","Unmarried","Other-service","Separated",10,"Some-college",34996,"Private",38
"3003","<=50K","United-States",25,0,0,"Female","White","Not-in-family","Sales","Divorced",10,"Some-college",112584,"Private",33
"3004","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Never-married",12,"Assoc-acdm",117589,"Private",25
"3005","<=50K","United-States",30,0,0,"Male","White","Own-child","?","Never-married",10,"Some-college",145234,"?",19
"3006","<=50K","United-States",52,0,0,"Female","White","Unmarried","Tech-support","Divorced",11,"Assoc-voc",267086,"Private",37
"3007","<=50K","United-States",35,0,0,"Male","White","Other-relative","Tech-support","Divorced",10,"Some-college",44434,"Private",49
"3008","<=50K","United-States",40,0,0,"Male","White","Other-relative","Craft-repair","Never-married",9,"HS-grad",96130,"Private",26
"3009","<=50K","United-States",43,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",181382,"Private",35
"3010","<=50K","United-States",60,0,0,"Female","White","Wife","Sales","Married-civ-spouse",9,"HS-grad",168845,"Self-emp-inc",44
"3011",">50K","United-States",45,0,0,"Male","White","Not-in-family","Exec-managerial","Separated",14,"Masters",271767,"Private",37
"3012",">50K","United-States",45,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",194636,"Private",42
"3013",">50K","United-States",40,0,4787,"Female","White","Not-in-family","Prof-specialty","Never-married",16,"Doctorate",194894,"State-gov",64
"3014",">50K","United-States",40,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",9,"HS-grad",132686,"Private",28
"3015","<=50K","United-States",50,0,4650,"Male","White","Not-in-family","Exec-managerial","Never-married",9,"HS-grad",185848,"Self-emp-not-inc",35
"3016","<=50K","United-States",40,0,0,"Male","White","Husband","Adm-clerical","Married-civ-spouse",13,"Bachelors",184378,"State-gov",40
"3017",">50K","United-States",40,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",270859,"Federal-gov",55
"3018","<=50K","United-States",65,0,0,"Male","White","Own-child","Farming-fishing","Never-married",9,"HS-grad",231866,"Private",21
"3019","<=50K","United-States",40,0,0,"Female","Black","Not-in-family","Exec-managerial","Never-married",10,"Some-college",36032,"Private",49
"3020",">50K","United-States",40,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",16,"Doctorate",172962,"State-gov",51
"3021",">50K","Philippines",40,1902,0,"Male","Asian-Pac-Islander","Husband","Craft-repair","Married-civ-spouse",15,"Prof-school",98350,"Private",57
"3022",">50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",13,"Bachelors",24185,"Private",51
"3023","<=50K","?",40,0,0,"Male","Black","Not-in-family","Craft-repair","Never-married",6,"10th",53930,"Private",38
"3024","<=50K","United-States",32,1762,0,"Female","White","Own-child","Sales","Never-married",9,"HS-grad",85088,"Private",24
"3025","<=50K","England",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",94962,"Self-emp-not-inc",45
"3026","<=50K","United-States",45,0,0,"Male","White","Husband","Machine-op-inspct","Married-civ-spouse",9,"HS-grad",480861,"Private",28
"3027",">50K","United-States",60,2415,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",15,"Prof-school",187702,"Self-emp-inc",42
"3028","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Other-service","Never-married",10,"Some-college",52262,"Private",22
"3029","<=50K","United-States",40,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",14,"Masters",52636,"State-gov",28
"3030","<=50K","United-States",40,0,0,"Female","White","Unmarried","Machine-op-inspct","Widowed",9,"HS-grad",175273,"Private",60
"3031","<=50K","United-States",40,2238,0,"Female","White","Unmarried","Machine-op-inspct","Separated",9,"HS-grad",327825,"Private",31
"3032",">50K","United-States",75,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",10,"Some-college",125892,"Private",47
"3033","<=50K","United-States",25,0,0,"Male","White","Not-in-family","?","Divorced",9,"HS-grad",78255,"?",40
"3034","<=50K","United-States",60,0,0,"Male","White","Husband","Adm-clerical","Married-AF-spouse",9,"HS-grad",398827,"Private",30
"3035",">50K","United-States",60,0,0,"Male","White","Husband","Sales","Married-civ-spouse",14,"Masters",208919,"Private",61
"3036","<=50K","United-States",6,0,0,"Female","White","Unmarried","Prof-specialty","Widowed",13,"Bachelors",365996,"Local-gov",71
"3037","<=50K","United-States",40,0,0,"Female","White","Own-child","Adm-clerical","Divorced",9,"HS-grad",307638,"Private",42
"3038","<=50K","United-States",55,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",8,"12th",33068,"Local-gov",44
"3039",">50K","United-States",60,0,0,"Male","White","Husband","Sales","Married-civ-spouse",10,"Some-college",254291,"Self-emp-not-inc",46
"3040",">50K","United-States",52,0,0,"Female","Black","Not-in-family","Exec-managerial","Never-married",15,"Prof-school",125417,"Local-gov",50
"3041","<=50K","United-States",9,0,0,"Male","White","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",28848,"State-gov",27
"3042","<=50K","United-States",15,0,0,"Male","White","Husband","?","Married-civ-spouse",11,"Assoc-voc",273425,"?",40
"3043","<=50K","Mexico",40,0,0,"Female","White","Other-relative","Adm-clerical","Never-married",10,"Some-college",194723,"Private",21
"3044","<=50K","United-States",35,0,0,"Male","White","Other-relative","Handlers-cleaners","Never-married",9,"HS-grad",195118,"Private",25
"3045","<=50K","United-States",56,1876,0,"Male","White","Not-in-family","Transport-moving","Divorced",3,"5th-6th",123273,"Private",61
"3046","<=50K","United-States",30,0,0,"Male","White","Not-in-family","Adm-clerical","Divorced",10,"Some-college",220115,"Private",54
"3047","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Sales","Never-married",13,"Bachelors",265706,"Private",31
"3048","<=50K","United-States",30,0,0,"Male","White","Husband","Farming-fishing","Married-civ-spouse",10,"Some-college",279129,"Self-emp-not-inc",53
"3049",">50K","United-States",55,0,15024,"Male","White","Husband","Exec-managerial","Married-civ-spouse",12,"Assoc-acdm",122742,"Self-emp-inc",39
"3050",">50K","United-States",50,0,15024,"Male","White","Husband","Transport-moving","Married-civ-spouse",15,"Prof-school",172654,"Self-emp-inc",57
"3051","<=50K","United-States",44,0,0,"Female","White","Unmarried","Sales","Divorced",13,"Bachelors",119199,"Private",48
"3052",">50K","United-States",56,0,0,"Male","White","Husband","Transport-moving","Married-civ-spouse",10,"Some-college",107793,"Private",30
"3053","<=50K","United-States",60,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",9,"HS-grad",237943,"Private",35
"3054","<=50K","United-States",50,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",9,"HS-grad",64632,"Self-emp-not-inc",42
"3055","<=50K","United-States",40,0,0,"Male","White","Husband","Machine-op-inspct","Married-civ-spouse",9,"HS-grad",96245,"Self-emp-not-inc",34
"3056",">50K","United-States",40,0,0,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",361494,"Private",59
"3057","<=50K","United-States",20,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",6,"10th",122850,"Local-gov",69
"3058","<=50K","United-States",40,0,0,"Female","White","Own-child","Adm-clerical","Never-married",10,"Some-college",173652,"Private",29
"3059","<=50K","United-States",40,0,0,"Male","White","Husband","Transport-moving","Married-civ-spouse",9,"HS-grad",164663,"Private",40
"3060","<=50K","United-States",15,0,0,"Male","White","Own-child","Other-service","Never-married",10,"Some-college",98678,"Private",21
"3061","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Prof-specialty","Divorced",12,"Assoc-acdm",245529,"Private",40
"3062","<=50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",10,"Some-college",55294,"Private",43
"3063","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Handlers-cleaners","Divorced",9,"HS-grad",140583,"Private",36
"3064",">50K","Japan",40,0,0,"Male","Asian-Pac-Islander","Not-in-family","Prof-specialty","Married-spouse-absent",9,"HS-grad",79797,"Private",41
"3065","<=50K","United-States",30,0,0,"Male","White","Not-in-family","?","Widowed",9,"HS-grad",113044,"?",72
"3066","<=50K","United-States",30,0,0,"Male","White","Own-child","Transport-moving","Never-married",10,"Some-college",283499,"Private",20
"3067","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Widowed",13,"Bachelors",51111,"Local-gov",41
"3068","<=50K","United-States",50,0,0,"Male","White","Not-in-family","Exec-managerial","Divorced",10,"Some-college",232475,"Private",34
"3069","<=50K","United-States",40,0,0,"Female","Black","Unmarried","Other-service","Divorced",7,"11th",176140,"Private",48
"3070","<=50K","United-States",40,0,0,"Female","White","Own-child","Exec-managerial","Never-married",9,"HS-grad",301654,"Private",27
"3071",">50K","United-States",60,0,15024,"Male","White","Husband","Exec-managerial","Married-civ-spouse",10,"Some-college",376455,"Private",35
"3072","<=50K","United-States",40,0,0,"Male","Black","Own-child","?","Never-married",9,"HS-grad",192569,"?",28
"3073","<=50K","United-States",40,0,0,"Male","Black","Own-child","Craft-repair","Never-married",9,"HS-grad",229803,"Private",27
"3074","<=50K","United-States",40,0,0,"Male","White","Own-child","Sales","Never-married",10,"Some-college",337639,"Private",20
"3075","<=50K","United-States",15,0,0,"Female","White","Own-child","Sales","Never-married",10,"Some-college",130849,"Private",18
"3076","<=50K","United-States",40,0,0,"Male","White","Husband","Sales","Married-civ-spouse",13,"Bachelors",296282,"Private",32
"3077",">50K","United-States",60,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",14,"Masters",266645,"Private",38
"3078","<=50K","United-States",40,0,0,"Male","White","Own-child","Other-service","Never-married",10,"Some-college",110128,"State-gov",23
"3079",">50K","United-States",45,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",90196,"Private",28
"3080",">50K","United-States",38,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",15,"Prof-school",40024,"State-gov",40
"3081","<=50K","United-States",40,0,0,"Female","White","Unmarried","Machine-op-inspct","Divorced",9,"HS-grad",144322,"Private",35
"3082","<=50K","United-States",40,0,0,"Male","White","Unmarried","Exec-managerial","Widowed",10,"Some-college",162340,"Self-emp-inc",74
"3083","<=50K","United-States",40,0,0,"Male","White","Own-child","Craft-repair","Never-married",9,"HS-grad",169069,"Private",28
"3084","<=50K","United-States",30,0,0,"Male","White","Own-child","Handlers-cleaners","Never-married",10,"Some-college",113601,"Private",23
"3085","<=50K","United-States",10,2258,0,"Male","White","Own-child","Farming-fishing","Never-married",10,"Some-college",157145,"Self-emp-not-inc",20
"3086","<=50K","United-States",56,0,0,"Female","Black","Unmarried","Machine-op-inspct","Divorced",9,"HS-grad",111275,"Private",44
"3087","<=50K","United-States",25,0,0,"Female","White","Unmarried","Adm-clerical","Divorced",9,"HS-grad",102076,"Local-gov",46
"3088","<=50K","United-States",40,0,0,"Male","White","Own-child","?","Never-married",10,"Some-college",182117,"?",20
"3089",">50K","United-States",50,0,15024,"Male","White","Husband","Sales","Married-civ-spouse",13,"Bachelors",145409,"Self-emp-not-inc",51
"3090","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Adm-clerical","Separated",10,"Some-college",190122,"Private",40
"3091",">50K","United-States",40,1977,0,"Male","White","Husband","Tech-support","Married-civ-spouse",15,"Prof-school",331482,"Private",48
"3092","<=50K","United-States",84,1672,0,"Male","White","Husband","Farming-fishing","Married-civ-spouse",5,"9th",170114,"Self-emp-not-inc",60
"3093",">50K","United-States",40,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",193188,"Self-emp-inc",48
"3094","<=50K","United-States",70,0,0,"Female","White","Wife","Prof-specialty","Married-civ-spouse",13,"Bachelors",267588,"Local-gov",46
"3095",">50K","United-States",40,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",200471,"Self-emp-inc",48
"3096","<=50K","United-States",35,0,0,"Female","Black","Unmarried","?","Never-married",9,"HS-grad",175586,"?",22
"3097","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",322658,"Local-gov",24
"3098","<=50K","United-States",40,0,0,"Female","White","Unmarried","Prof-specialty","Divorced",10,"Some-college",263982,"State-gov",45
"3099","<=50K","United-States",35,0,0,"Female","White","Own-child","Sales","Never-married",8,"12th",266287,"Private",18
"3100","<=50K","United-States",40,0,0,"Male","White","Husband","Machine-op-inspct","Married-civ-spouse",9,"HS-grad",278187,"Private",39
"3101","<=50K","United-States",65,2352,0,"Male","White","Husband","Farming-fishing","Married-civ-spouse",9,"HS-grad",81413,"Self-emp-inc",65
"3102","<=50K","United-States",40,0,0,"Female","White","Own-child","Machine-op-inspct","Divorced",10,"Some-college",221745,"Private",22
"3103","<=50K","United-States",20,0,0,"Female","White","Own-child","Other-service","Never-married",10,"Some-college",140764,"Private",20
"3104","<=50K","United-States",40,0,0,"Male","White","Husband","Sales","Married-civ-spouse",10,"Some-college",206351,"Private",28
"3105",">50K","United-States",50,0,99999,"Male","White","Husband","Prof-specialty","Married-civ-spouse",15,"Prof-school",176814,"Private",46
"3106",">50K","United-States",48,1977,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",245307,"Local-gov",42
"3107",">50K","?",40,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",16,"Doctorate",124971,"State-gov",61
"3108",">50K","United-States",50,0,7688,"Male","White","Own-child","Exec-managerial","Married-civ-spouse",10,"Some-college",119545,"Private",28
"3109","<=50K","United-States",20,0,0,"Female","White","Own-child","Sales","Never-married",10,"Some-college",179203,"Private",18
"3110","<=50K","United-States",40,0,0,"Male","Asian-Pac-Islander","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",44075,"Federal-gov",24
"3111",">50K","United-States",56,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",16,"Doctorate",178319,"Private",45
"3112","<=50K","United-States",40,0,0,"Male","White","Own-child","Adm-clerical","Never-married",9,"HS-grad",219754,"Private",24
"3113",">50K","United-States",50,0,15024,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",198316,"Private",44
"3114","<=50K","United-States",30,0,0,"Male","White","Own-child","Other-service","Never-married",10,"Some-college",168165,"Private",20
"3115","<=50K","Poland",55,0,2829,"Male","White","Husband","Tech-support","Married-civ-spouse",10,"Some-college",356838,"Private",35
"3116","<=50K","United-States",60,0,0,"Male","White","Husband","Sales","Married-civ-spouse",13,"Bachelors",210736,"Self-emp-inc",52
"3117","<=50K","United-States",45,0,2354,"Male","White","Not-in-family","Farming-fishing","Never-married",12,"Assoc-acdm",173212,"Private",25
"3118","<=50K","Mexico",36,0,0,"Male","White","Not-in-family","Farming-fishing","Never-married",3,"5th-6th",130431,"Private",19
"3119","<=50K","United-States",20,0,0,"Male","White","Husband","?","Married-civ-spouse",13,"Bachelors",169809,"?",35
"3120","<=50K","United-States",40,0,0,"Female","White","Unmarried","Adm-clerical","Divorced",10,"Some-college",197481,"Private",54
"3121","<=50K","United-States",40,0,0,"Male","White","Own-child","Craft-repair","Never-married",10,"Some-college",155066,"Private",21
"3122",">50K","United-States",40,0,0,"Female","White","Wife","Adm-clerical","Married-civ-spouse",9,"HS-grad",31290,"Private",26
"3123","<=50K","United-States",40,0,0,"Female","White","Unmarried","Adm-clerical","Divorced",11,"Assoc-voc",54102,"Private",42
"3124","<=50K","United-States",40,0,0,"Female","White","Own-child","Adm-clerical","Never-married",10,"Some-college",181546,"Private",19
"3125",">50K","United-States",50,1977,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",14,"Masters",153484,"Private",55
"3126","<=50K","United-States",40,0,0,"Male","White","Husband","Adm-clerical","Married-civ-spouse",9,"HS-grad",351228,"State-gov",44
"3127","<=50K","United-States",55,0,0,"Male","White","Own-child","Exec-managerial","Never-married",13,"Bachelors",131976,"Private",25
"3128","<=50K","United-States",40,0,0,"Male","White","Husband","Machine-op-inspct","Married-civ-spouse",10,"Some-college",200639,"Private",26
"3129",">50K","United-States",40,0,0,"Female","White","Not-in-family","Prof-specialty","Separated",12,"Assoc-acdm",267546,"Federal-gov",64
"3130","<=50K","United-States",40,0,0,"Female","Other","Unmarried","Other-service","Divorced",7,"11th",179875,"Private",41
"3131","<=50K","?",40,0,0,"Male","Black","Own-child","?","Never-married",10,"Some-college",237865,"?",25
"3132","<=50K","United-States",40,0,0,"Male","White","Husband","Transport-moving","Married-civ-spouse",10,"Some-college",300528,"Private",43
"3133",">50K","United-States",48,0,10520,"Male","White","Own-child","Craft-repair","Never-married",9,"HS-grad",67716,"Private",45
"3134",">50K","United-States",44,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",326048,"Federal-gov",48
"3135","<=50K","United-States",40,0,0,"Male","White","Husband","Transport-moving","Married-civ-spouse",9,"HS-grad",191188,"Private",60
"3136","<=50K","United-States",50,0,0,"Male","White","Not-in-family","Farming-fishing","Never-married",10,"Some-college",32172,"Self-emp-not-inc",45
"3137",">50K","United-States",40,1977,0,"Male","White","Husband","Sales","Married-civ-spouse",6,"10th",252903,"Private",51
"3138","<=50K","United-States",40,0,0,"Female","White","Unmarried","Adm-clerical","Divorced",9,"HS-grad",334314,"Federal-gov",37
"3139","<=50K","United-States",30,0,0,"Male","White","Own-child","Adm-clerical","Never-married",10,"Some-college",83704,"Private",22
"3140",">50K","United-States",65,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",160574,"Private",44
"3141","<=50K","United-States",50,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",203776,"Private",27
"3142","<=50K","United-States",40,0,0,"Male","White","Husband","Craft-repair","Married-civ-spouse",9,"HS-grad",328610,"Local-gov",47
"3143",">50K","United-States",40,1977,0,"Male","Black","Husband","Exec-managerial","Married-civ-spouse",14,"Masters",295589,"Private",32
"3144",">50K","United-States",50,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",13,"Bachelors",174373,"Private",40
"3145","<=50K","United-States",40,0,0,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",247752,"Private",41
"3146","<=50K","United-States",40,0,0,"Female","White","Not-in-family","?","Divorced",6,"10th",199244,"?",32
"3147","<=50K","United-States",40,0,0,"Female","White","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",139992,"Private",26
"3148","<=50K","United-States",40,0,0,"Male","Asian-Pac-Islander","Husband","Exec-managerial","Married-civ-spouse",10,"Some-college",95680,"Private",47
"3149","<=50K","United-States",45,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",9,"HS-grad",189933,"Self-emp-inc",55
"3150","<=50K","United-States",40,0,0,"Male","White","Husband","Handlers-cleaners","Married-civ-spouse",9,"HS-grad",498785,"Private",38
"3151","<=50K","United-States",15,0,0,"Male","White","Not-in-family","Prof-specialty","Never-married",13,"Bachelors",177526,"State-gov",24
"3152",">50K","United-States",25,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",16,"Doctorate",150121,"Self-emp-not-inc",64
"3153",">50K","United-States",40,0,0,"Male","White","Husband","Prof-specialty","Married-civ-spouse",13,"Bachelors",130454,"Federal-gov",56
"3154",">50K","United-States",49,0,0,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",119079,"Private",41
"3155",">50K","United-States",45,0,7298,"Male","White","Husband","Sales","Married-civ-spouse",9,"HS-grad",220939,"Private",33
"3156",">50K","United-States",42,0,0,"Male","White","Own-child","Prof-specialty","Never-married",15,"Prof-school",94235,"Private",33
"3157","<=50K","United-States",40,0,0,"Male","White","Husband","Other-service","Married-civ-spouse",10,"Some-college",305874,"Private",21
"3158","<=50K","United-States",40,0,0,"Male","Black","Not-in-family","Craft-repair","Widowed",9,"HS-grad",62020,"Local-gov",59
"3159",">50K","Germany",40,0,0,"Male","White","Husband","Exec-managerial","Married-civ-spouse",11,"Assoc-voc",235624,"Private",58
"3160","<=50K","United-States",40,0,0,"Male","White","Unmarried","Prof-specialty","Divorced",14,"Masters",247514,"Local-gov",43
"3161","<=50K","United-States",40,0,0,"Male","Black","Own-child","Craft-repair","Never-married",9,"HS-grad",275726,"Private",21
"3162","<=50K","United-States",40,0,0,"Male","White","Not-in-family","Machine-op-inspct","Never-married",9,"HS-grad",72896,"Private",45
"3163",">50K","United-States",50,0,0,"Female","White","Wife","Exec-managerial","Married-civ-spouse",9,"HS-grad",110510,"Local-gov",53
"3164",">50K","?",50,0,0,"Male","White","Husband","Adm-clerical","Married-civ-spouse",15,"Prof-school",173938,"Private",41
