customer_id,income,spend,restoraunt,cosmetic,gender
75562265,1182552.0,1353264.75,0.0,0.0,0
10928546,1874919.82,33219975.67,21194.89,38925.93,1
69348468,4430.0,260171.31,0.0,0.0,1
84816985,24370.0,18414.45,0.0,0.0,1
61009479,233812.0,248520.11,3172.5,0.0,0
74045822,23300.0,186755.57,4347.0,0.0,0
27979606,1e3,90949.8,500.0,0.0,1
54129921,39652.07,568031.15,0.0,638.1999999999999,0
23160845,23459.0,564951.58,42263.48,14369.0,0
44160317,1207860.0,824449.04,1010.0,0.0,1
45646491,576550.0,704743.49,1950.0,2709.0,0
36008593,131330.0,42778.1,0.0,0.0,0
48111232,768891.0,1523235.61,2782.71,0.0,1
37245184,105050.0,104954.01,0.0,0.0,0
82609845,441956.0,429600.78,3049.65,8993.7,0
60046355,138900.0,807183.92,9722.0,4765.0,1
96751727,8301.68,259124.39,10161.91,0.0,0
83715039,219065.58,434253.13,11041.0,2204.0,0
67480620,12100.0,354351.7,11121.63,1713.0,0
67193294,918251.78,929381.55,910.0,8242.48,0
92766561,41435.65,227068.06,13279.54,0.0,1
74041795,40712.51,244352.76,3671.0,7332.57,0
19635150,56860.0,312776.65,295.0,1589.6,1
24825702,275300.0,1376889.44,0.0,3448.8,1
5689927,431502.0,7174957.88,1480.0,0.0,0
13868306,531830.2,764119.57,0.0,0.0,1
17038281,411690.0,415418.9,25981.39,17071.11,0
1133595,357527.0,357891.06,1297.0,0.0,0
34174139,360183.78,672774.33,0.0,25864.35,0
46890366,1257406.5,2196317.63,0.0,0.0,0
402290,106100.0,206717.75,0.0,0.0,0
24553371,205800.0,176733.63,151.0,0.0,0
20505443,1762307.96,2053693.92,11048.0,25406.0,0
54096213,239507.0,425015.23,2789.0,2498.8,1
93914512,27149.0,159029.91,0.0,0.0,0
26159801,525770.0,643796.05,11021.75,0.0,0
94069501,32400.0,270529.67,4138.0,2202.0,0
43869219,307443.79,1049041.11,4360.56,6401.16,0
14409598,500149.18,978987.54,2904.0,0.0,1
34247605,268e3,834195.85,2555.0,0.0,0
37141133,200300.0,268401.55,0.0,0.0,0
63929380,45800.0,138828.94,0.0,0.0,0
79414195,48456.0,376676.02,9997.14,0.0,1
8619476,971465.81,2537547.92,15512.36,1640.2,0
610375,244632.69,176047.72,9196.5,2676.0,1
77171868,10500.0,111615.67,0.0,0.0,0
87373794,56910.0,580246.19,0.0,0.0,1
36661620,8700.0,239550.35,0.0,0.0,1
57486854,0.0,126e3,0.0,0.0,0
81513101,40900.0,108848.0,0.0,0.0,0
16422350,355563.54,1695483.99,45313.02,43127.99,0
39216943,69950.0,43966.98,0.0,0.0,0
20421046,168345.75,735004.46,1746.0,1620.0,1
62533123,0.0,376555.21,0.0,2176.4,0
1094663,0.0,278900.0,0.0,0.0,1
97098016,121478.2,718439.68,463.0,3e3,1
69512175,150.0,138.0,0.0,0.0,0
9708480,2103578.0,2762163.73,971.05,299.0,1
5712129,1669250.0,1187408.42,890.0,0.0,0
80339866,77200.0,566066.34,5295.0,0.0,1
79321784,0.0,774583.18,1401.59,0.0,0
57746497,27314.5,605237.24,14519.0,341.0,1
55477562,51.0,175581.0,0.0,0.0,1
83629946,20500.0,235910.19,0.0,0.0,0
8612909,102800.0,516056.28,0.0,0.0,1
67382369,7750.0,129558.31,551.0,0.0,0
83851361,90150.0,371448.9,1050.0,0.0,1
